air,air,16
family,lady,16
lewin,lewin,16
treatment,treatment,16
thou,letter,16
wife,husband,16
barnes,barnes,16
spouse,spouse,16
messenger,letter,16
m,lovelace,16
smith,day,16
maid,maid,16
m,family,16
belford,letter,16
cousin,libertine,16
plotting,libertine,16
lovelace,tenant,16
hervey,aunt,16
lady,coachman,16
people,money,16
kinswoman,kinswoman,16
johnny,johnny,16
miss,sorlings,16
cloaths,cloaths,15
lovelace,solmes,15
brother,family,15
bella,bella,15
proposal,proposal,15
brother,body,15
parent,child,15
nancy,nancy,15
mother,daughter,15
mennell,mennell,15
trial,trial,15
lovelace,violence,15
violence,violence,15
patty,patty,15
nobody,nobody,15
lady,cousin,15
step,step,15
lady,honour,15
hour,hour,15
joseph,leman,15
father,daughter,15
pen,pen,15
aunt,thing,15
uncle,family,15
harlowe,fretchville,15
summer,summer,15
miss,hickman,15
harlowe,father,15
letter,lovelace,15
lady,particular,15
uncle,papa,15
mother,body,15
cousin,plotting,15
plotting,cousin,15
lady,morden,15
apothecary,lady,15
apothecary,rowland,15
coachman,coachman,15
love,spirit,15
spirit,love,15
chevalier,chevalier,15
belford,friend,14
lovelace,honour,14
sister,solmes,14
colonel,letter,14
father,sister,14
content,content,14
her,her,14
quality,quality,14
rest,rest,14
grief,grief,14
apartment,apartment,14
lady,justice,14
canst,canst,14
conscience,conscience,14
lovick,sister,14
dorcas,letter,14
leman,leman,14
temper,temper,14
lovelace,company,14
miss,spouse,14
howe,hickman,14
lady,messenger,14
creature,howe,14
poor,poor,14
uncle,solmes,14
uncle,will,14
james,cousin,14
rowland,wife,14
smith,key,14
smith,trunk,14
smith,drawer,14
lord,uncle,14
m,uncle,14
aunt,antony,14
captain,lady,14
poet,angelica,14
biddulph,yours,14
sorlings,miss,14
howe,thou,13
miss,mother,13
affair,affair,13
friend,nothing,13
sickness,sickness,13
arm,arm,13
lovelace,time,13
villainy,villainy,13
duty,duty,13
god,heart,13
pleasure,pleasure,13
line,line,13
place,place,13
way,way,13
hope,hope,13
calamity,calamity,13
event,event,13
lovelace,proposal,13
design,design,13
uncle,sister,13
john,niece,13
friend,correspondence,13
answer,answer,13
cause,cause,13
beauty,beauty,13
thou,thing,13
lady,room,13
effect,effect,13
miss,word,13
bear,bear,13
harlowe,lady,13
montague,howe,13
story,story,13
harlowe,way,13
dorcas,key,13
door,door,13
thou,care,13
lovelace,account,13
servant,lady,13
lady,linen,13
friend,thing,13
merit,brother,13
miss,company,13
lovelace,mennell,13
hickman,harlowe,13
creature,miss,13
lover,lover,13
smith,hand,13
mean,mean,13
