name,num
wish,70
dozen,70
baseness,70
fortunes,70
behalf,70
escape,69
Pritchard,69
reverence,69
error,69
event,69
She,68
acquaintance,68
preference,68
discretion,68
yesterday,68
Sister,68
Thou,67
afternoon,67
manners,67
methods,67
Leman,67
indignation,67
inquiry,67
method,67
street,67
insults,67
politeness,67
glory,67
strangers,67
sentiments,67
Lady Sarah,66
Mrs Howe,66
passages,66
beauty,66
hers,66
alliance,66
compassion,66
writing,66
expedient,66
vows,66
Thursday,66
Dear,66
contempt,66
daughters,66
guilt,66
pair,66
niceness,66
Mr Morden,65
hints,65
speech,65
sword,65
offices,65
compliments,65
Dolly,65
ways,65
window,65
attendance,65
meaning,64
weakness,64
sincerity,64
families,64
assistance,64
steps,64
notion,63
book,63
object,63
degree,63
act,63
enemies,63
kinsman,63
tenderness,63
talk,63
thyself,62
earnestness,62
delicacy,62
reformation,62
ground,62
compliance,62
Mrs Greme,61
sun,61
observation,61
Anna,61
success,61
CL,60
breach,60
bosom,60
don,60
purposes,60
mediation,60
Place,60
doors,60
uneasiness,60
Lawrance,60
sufferings,60
Man,60
severity,59
folly,59
water,59
opposition,59
arguments,59
apparel,59
names,59
dress,59
modesty,59
advantages,59
licence,59
antipathy,58
party,58
youth,58
recovery,58
gratitude,58
goddess,58
plot,58
dignity,58
base,58
danger,58
plea,58
wrongs,58
stories,58
confusion,58
pounds,58
addresses,57
humanity,57
injuries,57
People,57
secret,57
copies,57
delay,57
heaven,57
Mrs Fortescue,56
remorse,56
measure,56
trials,56
nuptials,56
motions,56
Brother,56
play,56
companions,56
girls,55
airs,55
Monday,55
penitence,55
Robert,55
tea,55
freedoms,55
Polly,55
living,55
guest,55
memory,54
Norton,54
charge,54
court,54
table,54
obedience,54
nieces,54
intentions,54
prosecution,54
neck,53
offers,53
direction,53
knees,53
management,53
blood,53
earnest,53
sisters,53
H,53
kinswoman,53
action,52
jewels,52
T,52
injunctions,52
enemy,52
age,52
kindness,52
Nay,52
indulgence,52
sufferer,52
dislike,52
birth,52
ear,52
need,52
trust,52
corpse,52
Mabell,52
wonder,51
Providence,51
characters,51
folks,51
expectation,51
Nancy,51
treaty,51
article,51
D,51
visitor,51
resolutions,50
call,50
Nothing,50
benefit,50
disappointment,50
inquiries,50
objections,50
year,49
handkerchief,49
liking,49
estates,49
appointment,49
boy,49
wickedness,49
souls,49
fits,49
affections,49
illness,48
Sunday,48
fears,48
crime,48
shame,48
heads,48
remembrance,48
Singleton,48
praise,48
charity,48
Wilson,48
lodging,48
expectations,48
Tragedy,48
strength,47
mischiefs,47
shop,47
notions,47
apartments,47
destiny,47
nymphs,47
linen,47
inclinations,47
Life,47
test,47
flattery,47
sum,47
keys,47
plots,46
features,46
contrivance,46
expression,46
compulsion,46
excellence,46
Poor,46
parson,46
instant,46
motive,46
Hall,46
Don,46
Mr Goddard,45
calamities,45
reserve,45
points,45
mortification,45
Brand,45
past,45
price,45
designs,45
perusal,45
style,45
Summers,45
surprize,44
terror,44
cases,44
esteem,44
rashness,44
Col,44
suspicion,44
directions,44
hypocrite,44
Thomasine,44
ink,44
communication,44
dining,44
Mrs Hickman,43
path,43
villainy,43
scene,43
form,43
matrimony,43
aunts,43
months,43
encouragement,43
misunderstanding,42
stranger,42
execution,42
suit,42
accident,42
quarter,42
innocence,42
breath,42
option,42
scruple,42
resignation,42
arts,42
malice,42
coffin,42
Mrs Harlowe,41
cruelty,41
distresses,41
length,41
importance,41
thanks,41
warmth,41
No,41
Arabella,41
places,41
skill,41
husbands,41
influence,41
language,41
accounts,41
persecutions,41
books,41
opportunities,41
schemes,40
look,40
sons,40
message,40
passage,40
safety,40
attempts,40
condescension,40
pieces,40
Law,40
Her,40
Collins,40
interests,40
debate,40
ease,40
His,40
Harlowes,40
impression,40
Shorey,40
ring,40
glass,40
drawers,40
troubles,40
Mrs Bevis,39
distinction,39
sums,39
indifference,39
obstinacy,39
suspense,39
invitation,39
hat,39
wives,39
quality,39
set,39
reading,39
hatred,39
Miss Partington,38
Mr BELFORD,38
hearing,38
result,38
Saturday,38
fever,38
grave,38
favours,38
intellects,38
envy,38
Yes,38
promises,38
dinner,38
coachman,38
caution,38
LOVELACE,38
patient,38
Barnes,38
determin,38
Mr TOURVILLE,37
libertine,37
author,37
security,37
censure,37
parent,37
gentleness,37
Florence,37
HOWE,37
decency,37
permission,37
secrets,37
blame,37
leisure,37
footman,37
clergyman,37
summer,37
being,36
controul,36
superiority,36
Johnny,36
practice,36
veneration,36
disposition,36
claim,36
confinement,36
captain,36
gentlewomen,36
observations,36
fortnight,36
note,36
pretensions,36
protestations,36
suspicions,36
crimes,36
nobody,36
injury,36
beast,36
conditions,35
insult,35
despair,35
ancestors,35
blessings,35
tear,35
penitent,35
humility,35
Capt,35
wills,35
score,35
progress,35
flight,35
varlet,35
afflictions,35
disorder,35
Caesar,35
lights,35
bill,34
want,34
reward,34
draught,34
beginning,34
arrest,34
dear,34
taste,34
performance,34
vehemence,34
discourse,34
conference,34
merits,34
gown,34
endeavour,34
chance,34
Patty,34
tenants,34
solemnity,34
diamond,34
Squire,34
Mrs Lovelace,33
moments,33
sickness,33
repentance,33
shock,33
demand,33
defence,33
habits,33
affliction,33
appearances,33
